节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.90.128.87,cce-xrg955qz-y3wys5xm / i-ZB2SMaeo,可用,后付费,可用区C,10.90.128.87,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 64.53% | 71.35% 
内存: 65.39% | 66.88%","""20/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-28 08:44:24
10.90.128.89,cce-uk1zi507-cwzn3tzj / i-L4bv5Udf,可用,后付费,可用区C,10.90.128.89,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 70.94% | 78.85% 
内存: 70.22% | 72.05%","""28/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-27 18:09:29
10.90.128.24,CCE-EBC-triton-server-L20-tcdnudg2-5uuvqlpf-2 / i-CujjJUci,可用,后付费,可用区C,10.90.128.24,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 94.16% | 103.32% 
内存: 64.18% | 67.65%","""33/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.25,CCE-EBC-triton-server-L20-tcdnudg2-5uuvqlpf-1 / i-DCSxsOMB,可用,后付费,可用区C,10.90.128.25,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.80% | 90.10% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.29,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-10 / i-TcP0dIhG,可用,后付费,可用区C,10.90.128.29,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 89.54% | 96.83% 
内存: 57.75% | 60.83%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.30,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-03 / i-mRC6uX5A,可用,后付费,可用区C,10.90.128.30,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 88.58% | 95.87% 
内存: 60.93% | 64.01%","""29/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.4,CCE-EBC-triton-server-L20-46llbh36-5uuvqlpf / i-p3ZwTE1L,可用,后付费,可用区C,10.90.128.4,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 91.61% | 99.47% 
内存: 61.01% | 64.21%","""31/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.5,CCE-EBC-triton-server-L20-paaefq05-5uuvqlpf / i-9ixwRR6q,可用,后付费,可用区C,10.90.128.5,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 89.54% | 96.83% 
内存: 57.75% | 60.83%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.9,CCE-EBC-triton-server-L20-c0ue3tx5-5uuvqlpf / i-CUDKHsVO,可用,后付费,可用区C,10.90.128.9,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 89.54% | 96.83% 
内存: 57.75% | 60.83%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:46
10.90.128.12,CCE-EBC-triton-server-L20-bgbm5onz-5uuvqlpf-2 / i-19YLpkLe,可用,后付费,可用区C,10.90.128.12,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 89.54% | 96.83% 
内存: 57.75% | 60.83%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:45
10.90.128.18,CCE-EBC-triton-server-L20-l91vcjqd-sxfht1bl-2 / i-BvpRcouO,可用,后付费,可用区C,10.90.128.18,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:45
10.90.128.19,CCE-EBC-triton-server-L20-l91vcjqd-sxfht1bl-3 / i-VwCjKz8x,可用,后付费,可用区C,10.90.128.19,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.73% | 92.98% 
内存: 51.41% | 54.58%","""27/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 21:00:45
10.90.128.49,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-02 / i-YeFcKnt0,可用,后付费,可用区C,10.90.128.49,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 84.73% | 92.02% 
内存: 54.57% | 57.66%","""27/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.46,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-20 / i-CaayACXa,可用,后付费,可用区C,10.90.128.46,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.45,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-10 / i-kUitlxUc,可用,后付费,可用区C,10.90.128.45,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.80% | 90.10% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.43,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-12 / i-71qqwgs6,可用,后付费,可用区C,10.90.128.43,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.70% | 92.98% 
内存: 60.93% | 64.01%","""29/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.42,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-16 / i-f14AoG7J,可用,后付费,可用区C,10.90.128.42,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 91.47% | 98.75% 
内存: 60.93% | 64.01%","""29/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.36,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-05 / i-BIWIHCtr,可用,后付费,可用区C,10.90.128.36,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.89% | 90.58% 
内存: 51.42% | 54.88%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.35,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-08 / i-M4ZgLFzX,可用,后付费,可用区C,10.90.128.35,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.34,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-09 / i-KdFoNKjE,可用,后付费,可用区C,10.90.128.34,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.94% | 91.06% 
内存: 51.43% | 54.67%","""27/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.33,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-07 / i-1U1AVINF,可用,后付费,可用区C,10.90.128.33,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.32,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-02 / i-Fv6NXVzC,可用,后付费,可用区C,10.90.128.32,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 90.51% | 97.79% 
内存: 64.11% | 67.19%","""30/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.31,CCE-EBC-triton-server-L20-wp9co1l7-5uuvqlpf-01 / i-UnwUoJpT,可用,后付费,可用区C,10.90.128.31,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 19:06:38
10.90.128.52,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-08 / i-YuQIycEw,可用,后付费,可用区C,10.90.128.52,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:33
10.90.128.51,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-03 / i-mUOenPPT,可用,后付费,可用区C,10.90.128.51,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:33
10.90.128.50,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-04 / i-HzWhWuOU,可用,后付费,可用区C,10.90.128.50,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 84.73% | 92.02% 
内存: 54.57% | 57.66%","""27/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:33
10.90.128.71,cce-ig-ld7crc5z-m9fx8xog-jjpo3wr5-4 / i-B6B6r075,可用,后付费,可用区C,10.90.128.71,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 91.96% | 98.75% 
内存: 70.49% | 73.46%","""32/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.70,CCE-EBC-triton-server-L20-ht153503-jjpo3wr5 / i-vQaCpfr5,可用,后付费,可用区C,10.90.128.70,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.24% | 90.10% 
内存: 64.17% | 67.38%","""32/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.69,CCE-EBC-triton-server-L20-hc7bbvns-jjpo3wr5-2 / i-nuxxNmpR,可用,后付费,可用区C,10.90.128.69,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 83.78% | 91.68% 
内存: 62.12% | 66.33%","""32/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.59,CCE-EBC-triton-server-L20-fi1kcirj-u5esp1do / i-twMdTzs4,可用,后付费,可用区C,10.90.128.59,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 53.39% | 62.21% 
内存: 45.14% | 48.70%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.58,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-06 / i-09HIQ8xQ,可用,后付费,可用区C,10.90.128.58,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 78.95% | 85.77% 
内存: 54.57% | 57.56%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.57,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-01 / i-gVmyFVXi,可用,后付费,可用区C,10.90.128.57,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 86.65% | 93.94% 
内存: 57.75% | 60.83%","""28/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.56,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-05 / i-3rxynzw3,可用,后付费,可用区C,10.90.128.56,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.55,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-13 / i-K6dxWQI3,可用,后付费,可用区C,10.90.128.55,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.54,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-19 / i-bPyWSTZ8,可用,后付费,可用区C,10.90.128.54,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 82.80% | 90.10% 
内存: 51.39% | 54.48%","""27/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.53,CCE-EBC-triton-server-L20-yqdwjnbx-5uuvqlpf-09 / i-Wy3INvTJ,可用,后付费,可用区C,10.90.128.53,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 85.68% | 92.98% 
内存: 51.39% | 54.48%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-14 17:18:32
10.90.128.94,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-23 / i-XJdFkjLW,可用,后付费,可用区C,10.90.128.94,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 84.74% | 91.54% 
内存: 64.11% | 67.09%","""26/128""",NP-L20-融合链路/数据运营-CUDA12.8.0（cce-ig-xzavk15m）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-12 15:08:31
10.90.128.98,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-03 / i-J3PMbh61,可用,后付费,可用区C,10.90.128.98,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 28.24% | 36.25% 
内存: 26.03% | 29.44%","""23/128""",NP-L20-自动标注（cce-ig-2zicvblt）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-12 15:08:31
10.90.128.99,CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-05 / i-Cgpa4Jdu,可用,后付费,可用区C,10.90.128.99,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 88.58% | 95.38% 
内存: 60.93% | 63.91%","""29/128""",NP-L20-自动标注（cce-ig-2zicvblt）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-08-12 15:08:31
10.90.128.61,cce-uk1zi507-3dbs4gd9 / i-1TLicv8F,可用,后付费,可用区C,10.90.128.61,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 64.53% | 71.35% 
内存: 65.39% | 66.88%","""20/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-07-08 19:42:28
10.90.128.66,cce-uk1zi507-94zow5g1 / i-oL94kfsv,可用,后付费,可用区C,10.90.128.66,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 64.53% | 71.35% 
内存: 65.39% | 66.88%","""20/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-07-08 19:42:28
10.90.128.63,cce-uk1zi507-csbtjmnf / i-mDIjkIz1,可用,后付费,可用区C,10.90.128.63,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 64.53% | 71.35% 
内存: 65.39% | 66.88%","""19/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-07-08 19:42:28
10.90.128.64,cce-uk1zi507-duudrd0v / i-ZJv1RCq2,可用,后付费,可用区C,10.90.128.64,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: 62.60% | 69.42% 
内存: 63.80% | 65.29%","""19/128""",NP-H20-天枢大模型（cce-ig-rbtrwee7）,,"v1.28.8
containerd://1.6.36
CentOS Linux 8",2025-07-08 19:42:28
